,UU2010_UU2,Partition
0,51201,0
1,25602,19
2,51203,0
3,51204,0
4,29701,20
5,25601,19
6,59401,1
7,59402,1
8,59403,1
9,54302,3
10,11302,12
11,62504,1
12,66601,22
13,49501,2
14,49201,2
15,49203,2
16,49204,2
17,49207,2
18,49209,2
19,57402,3
20,49212,2
21,10301,4
22,44213,2
23,87104,21
24,14401,5
25,87106,21
26,95301,9
27,66401,22
28,44116,2
29,60501,13
30,60502,13
31,86201,6
32,44120,2
33,64601,23
34,86107,6
35,68701,8
36,43103,7
37,86112,6
38,86114,6
39,86115,6
40,59501,1
41,67701,8
42,33301,12
43,54401,3
44,54402,3
45,54403,3
46,54404,3
47,33304,12
48,49301,2
49,49302,2
50,25113,19
51,45208,9
52,45209,9
53,57501,3
54,87201,21
55,87202,21
56,87203,21
57,87204,21
58,44201,2
59,40106,23
60,44205,2
61,44206,2
62,44208,2
63,44209,2
64,44210,2
65,44211,2
66,44212,2
67,56501,14
68,44214,2
69,09401,12
70,86202,6
71,86203,6
72,13501,16
73,21701,19
74,51401,0
75,59601,1
76,59602,1
77,49210,2
78,63701,11
79,42203,7
80,10106,4
81,50401,5
82,62502,1
83,11501,12
84,11502,22
85,37105,9
86,80115,13
87,80116,13
88,80117,13
89,49401,2
90,53501,14
91,57601,3
92,87301,21
93,74113,15
94,14601,5
95,44301,2
96,44302,2
97,44303,2
98,44304,2
99,08301,0
100,60601,13
101,78107,9
102,35103,14
103,35109,14
104,35110,14
105,87601,21
106,35114,14
107,51501,0
108,35118,14
109,35121,14
110,59701,1
111,59702,1
112,35127,14
113,35128,14
114,35129,14
115,35132,14
116,35210,14
117,38208,15
118,46401,12
119,34118,10
120,80201,13
121,80202,13
122,80203,13
123,80204,13
124,84303,16
125,80208,13
126,33105,12
127,37202,9
128,37203,9
129,37204,9
130,37205,9
131,35215,14
132,33117,12
133,33118,12
134,00351,12
135,33121,12
136,02403,0
137,57701,3
138,10601,4
139,00362,10
140,00365,2
141,44401,2
142,33701,12
143,78206,9
144,13205,16
145,86401,6
146,35206,14
147,78401,9
148,35208,14
149,31114,12
150,35211,14
151,35212,14
152,47501,12
153,35214,14
154,73103,15
155,35216,14
156,35217,14
157,81301,12
158,77206,9
159,21401,19
160,34202,10
161,34204,10
162,38301,15
163,34206,10
164,38303,15
165,42401,7
166,34212,10
167,34213,10
168,30119,10
169,72104,18
170,76202,9
171,80301,13
172,03502,11
173,33201,12
174,72117,18
175,72119,18
176,41401,9
177,34207,10
178,00452,14
179,02501,13
180,00456,10
181,32202,12
182,00459,9
183,00461,18
184,00463,10
185,74204,15
186,74205,15
187,74206,15
188,78303,9
189,31202,12
190,31205,12
191,35302,14
192,35303,14
193,31208,12
194,31209,12
195,39402,19
196,30120,10
197,73202,15
198,51701,0
199,77302,9
200,63401,11
201,77306,9
202,30203,10
203,72106,18
204,34304,10
205,30211,10
206,30212,10
207,42501,7
208,42502,7
209,70401,19
210,72201,18
211,72203,18
212,72205,18
213,76302,9
214,54701,3
215,80401,13
216,25107,19
217,29204,20
218,29205,20
219,25110,19
220,33303,12
221,25112,19
222,29209,20
223,33306,12
224,29211,20
225,29212,20
226,41501,9
227,25114,19
228,44123,2
229,49701,2
230,00552,10
231,00554,21
232,00555,8
233,67117,8
234,82501,12
235,30301,10
236,67121,8
237,77406,9
238,67126,8
239,44601,2
240,74302,15
241,66111,22
242,67137,8
243,66115,22
244,66117,22
245,31302,12
246,35401,14
247,35402,14
248,29111,20
249,81501,12
250,81502,12
251,30303,10
252,34401,10
253,64103,23
254,21101,19
255,72302,18
256,72303,18
257,25201,19
258,76402,9
259,76403,9
260,29301,20
261,29302,20
262,29303,20
263,33401,12
264,29308,20
265,67203,8
266,88501,3
267,45701,9
268,67206,8
269,30501,10
270,67208,8
271,67209,8
272,67210,8
273,67211,8
274,00652,15
275,79501,6
276,72301,18
277,63112,11
278,32401,12
279,68206,8
280,06701,17
281,68207,8
282,66205,22
283,66206,22
284,23201,21
285,29210,20
286,06501,17
287,25202,19
288,30302,10
289,77501,9
290,34501,10
291,34502,10
292,29109,20
293,64203,23
294,21201,19
295,21202,19
296,21204,19
297,21206,19
298,35213,14
299,80601,13
300,29403,20
301,33501,12
302,43301,7
303,51103,0
304,67301,8
305,67302,8
306,67303,8
307,67306,8
308,67307,8
309,00751,23
310,00752,1
311,00753,7
312,00754,10
313,00755,9
314,00756,1
315,00757,16
316,00758,7
317,00759,16
318,66301,22
319,66302,22
320,59137,1
321,23301,21
322,74502,15
323,35117,14
324,14104,5
325,14107,5
326,67205,8
327,57120,3
328,14117,5
329,86601,6
330,04401,16
331,56104,14
332,57131,3
333,38701,15
334,64302,23
335,57135,3
336,68401,8
337,68402,8
338,68403,8
339,59301,1
340,25401,19
341,14303,5
342,29501,20
343,08501,0
344,85302,2
345,63302,11
346,59207,1
347,63304,11
348,63116,11
349,21110,19
350,71501,19
351,00851,9
352,54110,3
353,35301,14
354,64303,23
355,74601,15
356,57203,3
357,57204,3
358,35701,14
359,10105,4
360,14202,5
361,14205,5
362,14206,5
363,45205,9
364,73601,15
365,22402,14
366,45206,9
367,30601,10
368,34701,10
369,13203,16
370,68501,8
371,13209,16
372,13211,16
373,76701,9
374,13214,16
375,37701,9
376,51109,0
377,59304,1
378,51113,0
379,59306,1
380,63303,11
381,67501,8
382,70301,19
383,34131,10
384,67401,8
385,54204,3
386,54206,3
387,77301,9
388,63113,11
389,37301,9
390,49105,2
391,31701,12
392,61401,5
393,06106,17
394,49115,2
395,14301,5
396,14302,5
397,49119,2
398,44701,2
399,77307,9
400,22501,14
401,63114,11
402,80209,13
403,65501,23
404,31301,12
405,85501,2
406,88403,3
407,13301,16
408,13303,16
409,64301,23
410,72701,18
411,33109,12
