,UU2010_UU2,Partition,ACT_TOTAL
0,04102,56,1048.0
1,04103,56,1255.0
2,04104,56,1458.0
3,08201,0,1924.0
4,08202,0,2234.0
5,08203,0,2618.0
6,08204,0,2655.0
7,08205,0,2267.0
8,08206,1,3038.0
9,16401,2,10672.0
10,45101,5,976.0
11,45102,5,1200.0
12,45103,5,1230.0
13,45104,5,1308.0
14,49201,3,2055.0
15,49202,3,2570.0
16,49203,3,2795.0
17,49204,3,3002.0
18,49205,3,2953.0
19,49206,3,3003.0
20,49207,3,3001.0
21,49208,3,2876.0
22,49209,3,3056.0
23,49210,3,3222.0
24,49211,3,2995.0
25,49212,3,3293.0
26,49213,3,3150.0
27,61201,88,1645.0
28,12301,93,4576.0
29,33301,28,3955.0
30,12302,94,5133.0
31,86102,43,943.0
32,86103,43,979.0
33,86104,43,1264.0
34,90201,4,2522.0
35,86106,43,1259.0
36,86107,43,1393.0
37,86108,43,1296.0
38,86109,43,1244.0
39,86110,43,1504.0
40,86111,43,1876.0
41,86112,43,1953.0
42,86113,95,1259.0
43,86114,43,2063.0
44,86115,43,2269.0
45,04201,56,2429.0
46,04202,56,2133.0
47,04203,56,2690.0
48,04204,56,2924.0
49,08301,0,3869.0
50,67108,35,1164.0
51,52105,80,1603.0
52,12401,90,8859.0
53,12402,89,21941.0
54,28101,20,1149.0
55,67109,35,1182.0
56,41102,5,1133.0
57,41103,5,1137.0
58,41104,5,932.0
59,41105,5,1098.0
60,41106,5,1410.0
61,41107,5,1841.0
62,41108,5,1504.0
63,49301,3,4740.0
64,41110,5,1797.0
65,00151,4,448.0
66,45208,5,4185.0
67,00153,6,390.0
68,55107,109,1523.0
69,57501,7,29299.0
70,00158,8,220.0
71,00160,6,1065.0
72,00161,9,637.0
73,00163,10,1432.0
74,60102,15,953.0
75,00167,11,861.0
76,00168,12,1717.0
77,00169,4,376.0
78,00171,13,1726.0
79,76112,12,1230.0
80,82101,14,1342.0
81,82102,14,1275.0
82,82104,14,1843.0
83,82105,14,2105.0
84,86202,43,2477.0
85,86203,43,2728.0
86,90301,4,3978.0
87,19101,24,941.0
88,60107,20,1106.0
89,60108,20,1344.0
90,77204,20,2335.0
91,04301,56,6743.0
92,08401,0,9117.0
93,60110,15,1236.0
94,16601,2,41699.0
95,17105,2,989.0
96,77205,20,3082.0
97,37106,5,1944.0
98,76114,71,1270.0
99,17106,44,871.0
100,37102,5,1188.0
101,37103,5,1453.0
102,37104,5,1589.0
103,37105,5,1824.0
104,41202,5,2478.0
105,41203,5,2639.0
106,41204,10,2602.0
107,41205,16,2687.0
108,45302,5,4655.0
109,45303,5,5523.0
110,37112,5,2307.0
111,49401,3,10541.0
112,00251,17,1048.0
113,00252,14,112.0
114,00253,11,2144.0
115,00254,18,199.0
116,17109,2,1200.0
117,00256,19,1587.0
118,57601,7,54783.0
119,53201,91,2688.0
120,00259,4,450.0
121,00260,20,2592.0
122,00261,4,1008.0
123,00262,21,1767.0
124,00263,22,496.0
125,00264,23,1167.0
126,00265,24,2197.0
127,00266,7,614.0
128,00267,4,1289.0
129,00268,20,1081.0
130,00269,25,868.0
131,00270,9,3279.0
132,00271,26,208.0
133,00272,4,662.0
134,00273,11,1008.0
135,78103,20,1368.0
136,82201,14,2245.0
137,82202,27,2728.0
138,82203,14,2641.0
139,82204,14,4047.0
140,17114,44,1388.0
141,17115,2,1237.0
142,17116,2,1593.0
143,17117,2,1920.0
144,04401,56,11305.0
145,50301,21,6294.0
146,08501,0,22363.0
147,45108,5,1425.0
148,60127,20,2594.0
149,53203,91,2616.0
150,45109,5,1285.0
151,87301,24,4283.0
152,45110,5,1565.0
153,45111,20,1424.0
154,33101,28,899.0
155,33102,28,1174.0
156,33103,28,1128.0
157,33105,28,1168.0
158,33106,28,1469.0
159,37203,5,2730.0
160,33108,28,1737.0
161,41301,5,5755.0
162,33110,28,1851.0
163,33111,28,1632.0
164,33112,28,2096.0
165,33113,28,2145.0
166,33114,28,1824.0
167,33115,28,1716.0
168,33116,28,1950.0
169,33117,28,1722.0
170,33118,28,2131.0
171,00351,14,3087.0
172,33120,28,1925.0
173,33121,28,2044.0
174,00354,28,3087.0
175,33123,28,2392.0
176,00356,20,2125.0
177,57701,7,122213.0
178,00358,9,2956.0
179,00359,20,4581.0
180,00360,9,3060.0
181,00361,20,3574.0
182,00362,30,2513.0
183,00363,12,1064.0
184,00364,31,1605.0
185,00365,19,6468.0
186,00366,32,4147.0
187,35201,37,2209.0
188,77203,20,2369.0
189,74101,9,1167.0
190,74102,9,1545.0
191,74103,29,1487.0
192,74104,29,1828.0
193,74105,29,1478.0
194,78202,20,2832.0
195,74107,29,1631.0
196,74108,33,1846.0
197,74109,29,1683.0
198,78206,20,4774.0
199,74111,9,1974.0
200,74112,29,1998.0
201,74113,9,2044.0
202,74114,34,2352.0
203,74115,29,2421.0
204,74116,9,2509.0
205,81302,14,3791.0
206,77207,20,3978.0
207,02114,0,1124.0
208,77208,20,3102.0
209,44204,19,3197.0
210,04105,56,1432.0
211,30105,25,1087.0
212,78302,20,6936.0
213,67118,35,1448.0
214,22109,17,1342.0
215,18501,61,32701.0
216,34204,30,2495.0
217,35203,37,1850.0
218,29101,98,741.0
