,Unnamed: 0,Source,Target,O_AU2010,D_AU2010,O_DEP,D_DEP,O_LIBBIS,D_LIBBIS,O_DEP_NAME,D_DEP_NAME,Weight,O_ACT_OUT,O_ACT_TOTAL,D_ACT_OUT,D_ACT_TOTAL,Dist,Duration,D_ACT_IN
2946,2946,754,26301,16,327,30,26,Avignon,Pierrelatte,GARD,DROME,188,6341,8488,2205.0,4901.0,68257,3124,2696.0
2947,2947,30304,26301,299,327,30,26,Pont-Saint-Esprit,Pierrelatte,GARD,DROME,388,3839,5754,2205.0,4901.0,17274,1222,2696.0
2948,2948,30401,26301,240,327,30,26,Bagnols-sur-Cèze,Pierrelatte,GARD,DROME,231,3880,7865,2205.0,4901.0,27275,1883,2696.0
2949,2949,84106,26203,998,381,84,26,Lapalud,Saint-Paul-Trois-Châteaux,VAUCLUSE,DROME,100,1148,1460,2465.0,4163.0,10042,893,1698.0
2950,2950,84106,26301,998,327,84,26,Lapalud,Pierrelatte,VAUCLUSE,DROME,312,1148,1460,2205.0,4901.0,8832,695,2696.0
2951,2951,84107,26301,997,327,84,26,Mondragon,Pierrelatte,VAUCLUSE,DROME,141,1068,1465,2205.0,4901.0,16592,1029,2696.0
2953,2953,84301,26203,307,381,84,26,Bollène,Saint-Paul-Trois-Châteaux,VAUCLUSE,DROME,364,2430,4733,2465.0,4163.0,9579,940,1698.0
2954,2954,84301,26301,307,327,84,26,Bollène,Pierrelatte,VAUCLUSE,DROME,658,2430,4733,2205.0,4901.0,16370,1138,2696.0
2957,2957,456,754,200,16,30,84,Beaucaire,Avignon,GARD,VAUCLUSE,478,2701,5601,76038.0,138936.0,28275,1864,62898.0
2958,2958,552,754,141,16,30,84,Arles,Avignon,GARD,VAUCLUSE,276,1084,1340,76038.0,138936.0,40094,2756,62898.0
2960,2960,754,84101,16,998,30,84,Avignon,Sainte-Cécile-les-Vignes,GARD,VAUCLUSE,116,6341,8488,576.0,924.0,45661,2565,348.0
2961,2961,754,84111,16,16,30,84,Avignon,Camaret-sur-Aigues,GARD,VAUCLUSE,196,6341,8488,1596.0,2194.0,35277,2080,598.0
2962,2962,754,84301,16,307,30,84,Avignon,Bollène,GARD,VAUCLUSE,146,6341,8488,2430.0,4733.0,53675,2312,2303.0
2963,2963,30102,754,16,16,30,84,Saint-Laurent-des-Arbres,Avignon,GARD,VAUCLUSE,192,900,1124,76038.0,138936.0,20057,1390,62898.0
2964,2964,30117,754,997,16,30,84,Aramon,Avignon,GARD,VAUCLUSE,332,920,1508,76038.0,138936.0,15212,1111,62898.0
2965,2965,30201,754,16,16,30,84,Roquemaure,Avignon,GARD,VAUCLUSE,512,1508,2144,76038.0,138936.0,19350,1455,62898.0
2966,2966,30202,754,570,16,30,84,Laudun-l'Ardoise,Avignon,GARD,VAUCLUSE,133,1291,2625,76038.0,138936.0,28121,1905,62898.0
2967,2967,30204,754,16,16,30,84,Pujaut,Avignon,GARD,VAUCLUSE,1025,2044,2494,76038.0,138936.0,13752,1057,62898.0
2968,2968,30206,754,997,16,30,84,Montfrin,Avignon,GARD,VAUCLUSE,128,2141,2754,76038.0,138936.0,22911,1595,62898.0
2969,2969,30207,754,16,16,30,84,Rochefort-du-Gard,Avignon,GARD,VAUCLUSE,1586,2606,3282,76038.0,138936.0,12153,1033,62898.0
2970,2970,30304,84301,299,307,30,84,Pont-Saint-Esprit,Bollène,GARD,VAUCLUSE,173,3839,5754,2430.0,4733.0,11043,944,2303.0
2971,2971,30401,754,240,16,30,84,Bagnols-sur-Cèze,Avignon,GARD,VAUCLUSE,129,3880,7865,76038.0,138936.0,34540,2268,62898.0
2972,2972,30601,754,40,16,30,84,Nîmes,Avignon,GARD,VAUCLUSE,318,19476,61633,76038.0,138936.0,44395,2705,62898.0
2974,2974,759,754,3,16,13,84,Marseille - Aix-en-Provence,Avignon,BOUCHES-DU-RHONE,VAUCLUSE,105,268025,591048,76038.0,138936.0,90958,3666,62898.0
2975,2975,759,84303,3,997,13,84,Marseille - Aix-en-Provence,Pertuis,BOUCHES-DU-RHONE,VAUCLUSE,345,268025,591048,4186.0,7612.0,29522,1546,3426.0
2976,2976,13107,84303,3,997,13,84,Meyrargues,Pertuis,BOUCHES-DU-RHONE,VAUCLUSE,104,1309,1633,4186.0,7612.0,9254,836,3426.0
2977,2977,13203,84303,3,997,13,84,Puy-Sainte-Réparade,Pertuis,BOUCHES-DU-RHONE,VAUCLUSE,119,1433,2212,4186.0,7612.0,9360,875,3426.0
2978,2978,13206,754,997,16,13,84,Sénas,Avignon,BOUCHES-DU-RHONE,VAUCLUSE,122,1754,2642,76038.0,138936.0,43897,2040,62898.0
2979,2979,13302,754,319,16,13,84,Saint-Rémy-de-Provence,Avignon,BOUCHES-DU-RHONE,VAUCLUSE,559,2629,5373,76038.0,138936.0,19658,1855,62898.0
2980,2980,13501,754,143,16,13,84,Salon-de-Provence,Avignon,BOUCHES-DU-RHONE,VAUCLUSE,233,12526,23287,76038.0,138936.0,54397,2537,62898.0
2981,2981,84101,754,998,16,84,84,Sainte-Cécile-les-Vignes,Avignon,VAUCLUSE,VAUCLUSE,100,576,924,76038.0,138936.0,46903,2634,62898.0
2982,2982,84102,754,16,16,84,84,Sérignan-du-Comtat,Avignon,VAUCLUSE,VAUCLUSE,329,782,1019,76038.0,138936.0,43593,2173,62898.0
2983,2983,84103,754,16,16,84,84,Bédoin,Avignon,VAUCLUSE,VAUCLUSE,221,569,1237,76038.0,138936.0,40474,2337,62898.0
2984,2984,84104,84303,998,997,84,84,Villelaure,Pertuis,VAUCLUSE,VAUCLUSE,336,1184,1492,4186.0,7612.0,6356,646,3426.0
2986,2986,84106,84301,998,307,84,84,Lapalud,Bollène,VAUCLUSE,VAUCLUSE,260,1148,1460,2430.0,4733.0,8193,708,2303.0
