,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
0,00151,Cussey-sur-l'Ognon,25,60,388,448,946,Cussey-sur-l'Ognon
1,00151,Cussey-sur-l'Ognon,70,48,594,643,1299,Cussey-sur-l'Ognon
2,00152,Lécluse,59,91,432,522,1442,Lécluse
3,00152,Lécluse,62,27,259,286,709,Lécluse
4,00153,Gouy-sous-Bellonne,59,67,323,390,967,Gouy-sous-Bellonne
5,00153,Gouy-sous-Bellonne,62,53,469,521,1224,Gouy-sous-Bellonne
6,00154,Olonzac,11,101,130,231,694,Olonzac
7,00154,Olonzac,34,280,284,565,1683,Olonzac
8,00155,Vayrac,19,22,48,70,212,Vayrac
9,00155,Vayrac,46,333,515,849,2405,Vayrac
10,00157,Aumale,60,12,120,132,398,Aumale
11,00157,Aumale,76,532,441,973,2388,Aumale
12,00158,Bessé-sur-Braye,41,28,193,220,502,Bessé-sur-Braye
13,00158,Bessé-sur-Braye,72,440,344,784,2322,Bessé-sur-Braye
14,00159,Sablons,07,100,352,452,1132,Sablons
15,00159,Sablons,38,155,728,883,2031,Sablons
16,00160,Arleux,59,253,812,1065,2935,Arleux
17,00160,Arleux,62,32,184,216,566,Arleux
18,00161,Entre-deux-Guiers,38,150,487,637,1766,Entre-deux-Guiers
19,00161,Entre-deux-Guiers,73,148,527,675,1561,Entre-deux-Guiers
20,00162,Gamaches,76,40,228,268,669,Gamaches
21,00162,Gamaches,80,436,485,921,2817,Gamaches
22,00163,Saint-Georges-sur-Cher,37,25,149,174,436,Saint-Georges-sur-Cher
23,00163,Saint-Georges-sur-Cher,41,319,1113,1432,3591,Saint-Georges-sur-Cher
24,00164,Seyssel,01,188,740,926,2118,Seyssel
25,00164,Seyssel,74,320,630,950,2353,Seyssel
26,00165,Blangy-sur-Bresle,76,412,504,916,2930,Blangy-sur-Bresle
27,00165,Blangy-sur-Bresle,80,106,273,379,1017,Blangy-sur-Bresle
28,00166,Vimoutiers,14,20,88,108,309,Vimoutiers
29,00166,Vimoutiers,61,712,494,1206,3807,Vimoutiers
30,00167,Aoste,38,336,746,1082,2682,Aoste
31,00167,Aoste,73,311,551,861,2247,Aoste
32,00168,Saint-Ouen-de-Thouberville,27,191,1526,1717,3761,Saint-Ouen-de-Thouberville
33,00168,Saint-Ouen-de-Thouberville,76,96,320,416,780,Saint-Ouen-de-Thouberville
34,00169,Châtenois-les-Forges,25,36,340,376,768,Châtenois-les-Forges
35,00169,Châtenois-les-Forges,90,214,1349,1563,3846,Châtenois-les-Forges
36,00170,La Roche-Chalais - Saint-Aigulin,17,224,376,600,1919,La Roche-Chalais - Saint-Aigulin
37,00170,La Roche-Chalais - Saint-Aigulin,24,511,491,1001,2873,La Roche-Chalais - Saint-Aigulin
38,00171,Pontacq,64,489,1238,1726,4099,Pontacq
39,00171,Pontacq,65,64,268,332,808,Pontacq
40,00251,Plestin-les-Grèves,22,464,584,1048,3616,Plestin-les-Grèves
41,00251,Plestin-les-Grèves,29,136,357,493,1476,Plestin-les-Grèves
42,00252,Montréjeau,31,534,1175,1710,5135,Montréjeau
43,00252,Montréjeau,65,20,92,112,327,Montréjeau
44,00253,Chazelles-sur-Lyon,42,804,1341,2144,5110,Chazelles-sur-Lyon
45,00253,Chazelles-sur-Lyon,69,84,261,346,753,Chazelles-sur-Lyon
46,00254,La Charité-sur-Loire,18,24,175,199,496,La Charité-sur-Loire
47,00254,La Charité-sur-Loire,58,912,716,1628,5129,La Charité-sur-Loire
48,00255,Descartes,37,734,913,1647,4936,Descartes
49,00255,Descartes,86,68,339,406,931,Descartes
50,00257,Castillon-la-Bataille,24,119,328,447,1238,Castillon-la-Bataille
51,00257,Castillon-la-Bataille,33,442,1055,1497,4909,Castillon-la-Bataille
52,00258,Chauffailles,42,63,352,415,893,Chauffailles
53,00258,Chauffailles,71,1102,1002,2104,5537,Chauffailles
54,00259,Chagny,21,87,363,450,1029,Chagny
55,00259,Chagny,71,937,1385,2322,5572,Chagny
56,00260,Le Malesherbois,45,1016,1576,2592,6190,Le Malesherbois
57,00260,Le Malesherbois,77,32,171,203,427,Le Malesherbois
58,00261,Fesches-le-Châtel,25,105,903,1008,2282,Fesches-le-Châtel
59,00261,Fesches-le-Châtel,90,682,1481,2165,4517,Fesches-le-Châtel
60,00262,Condé-en-Normandie,14,1089,677,1767,5422,Condé-en-Normandie
61,00262,Condé-en-Normandie,61,62,421,483,1311,Condé-en-Normandie
62,00263,Aire-sur-l'Adour,32,154,343,496,1304,Aire-sur-l'Adour
63,00263,Aire-sur-l'Adour,40,1463,982,2444,6279,Aire-sur-l'Adour
64,00264,Éperlecques - Watten,59,269,899,1167,3543,Éperlecques - Watten
65,00264,Éperlecques - Watten,62,341,1253,1594,4147,Éperlecques - Watten
66,00265,Terrasson-Lavilledieu,19,114,607,722,1751,Terrasson-Lavilledieu
67,00265,Terrasson-Lavilledieu,24,1317,880,2197,6225,Terrasson-Lavilledieu
68,00266,Raon-l'Étape,54,112,503,614,1556,Raon-l'Étape
69,00266,Raon-l'Étape,88,1036,1088,2124,6528,Raon-l'Étape
70,00267,Beaucourt,25,193,1095,1289,3061,Beaucourt
71,00267,Beaucourt,90,483,1582,2065,5470,Beaucourt
72,00268,Souppes-sur-Loing,45,300,781,1081,2976,Souppes-sur-Loing
73,00268,Souppes-sur-Loing,77,530,1599,2129,5561,Souppes-sur-Loing
74,00269,Saint-Vallier,07,204,664,868,2067,Saint-Vallier
75,00269,Saint-Vallier,26,820,1785,2605,6763,Saint-Vallier
76,00270,Pontcharra,38,1013,2266,3279,7803,Pontcharra
77,00270,Pontcharra,73,119,528,647,1372,Pontcharra
78,00271,Carhaix-Plouguer,22,35,173,208,558,Carhaix-Plouguer
79,00271,Carhaix-Plouguer,29,1926,1215,3140,8823,Carhaix-Plouguer
80,00272,La Chapelle-de-Guinchay - Crêches-sur-Saône,69,262,400,662,1368,La Chapelle-de-Guinchay - Crêches-sur-Saône
81,00272,La Chapelle-de-Guinchay - Crêches-sur-Saône,71,994,2893,3887,8785,La Chapelle-de-Guinchay - Crêches-sur-Saône
82,00273,Saint-Rambert-d'Albon,07,72,379,451,1129,Saint-Rambert-d'Albon
83,00273,Saint-Rambert-d'Albon,26,892,1830,2722,7226,Saint-Rambert-d'Albon
84,00273,Saint-Rambert-d'Albon,38,232,776,1008,2339,Saint-Rambert-d'Albon
85,00351,Castelnau-d'Estrétefonds,31,724,2363,3087,6036,Castelnau-d'Estrétefonds
86,00351,Castelnau-d'Estrétefonds,82,406,1797,2203,5024,Castelnau-d'Estrétefonds
87,00352,Brassac-les-Mines,43,733,2006,2739,7018,Brassac-les-Mines
88,00352,Brassac-les-Mines,63,314,696,1010,3290,Brassac-les-Mines
89,00353,Digoin,03,266,675,941,2121,Digoin
90,00353,Digoin,71,1412,1359,2771,8303,Digoin
91,00354,Montpon-Ménestérol,24,1228,1858,3087,9287,Montpon-Ménestérol
92,00354,Montpon-Ménestérol,33,161,539,700,1874,Montpon-Ménestérol
93,00355,Épernon,28,1087,3651,4739,9267,Épernon
94,00355,Épernon,78,132,1101,1233,2598,Épernon
95,00356,Saint-Lubin-des-Joncherets - Nonancourt,27,406,1720,2125,4687,Saint-Lubin-des-Joncherets - Nonancourt
96,00356,Saint-Lubin-des-Joncherets - Nonancourt,28,629,2559,3188,7894,Saint-Lubin-des-Joncherets - Nonancourt
97,00357,Bellegarde-sur-Valserine,01,2096,2397,4493,11790,Bellegarde-sur-Valserine
98,00357,Bellegarde-sur-Valserine,74,56,340,396,862,Bellegarde-sur-Valserine
99,00358,Allevard,38,904,2053,2956,7086,Allevard
100,00358,Allevard,73,737,1771,2507,6170,Allevard
101,00359,Gisors,27,1693,2889,4581,11554,Gisors
102,00359,Gisors,60,100,615,716,1833,Gisors
103,00360,Le Pont-de-Beauvoisin,38,684,2378,3060,7514,Le Pont-de-Beauvoisin
104,00360,Le Pont-de-Beauvoisin,73,851,2496,3347,7942,Le Pont-de-Beauvoisin
105,00361,Ézy-sur-Eure,27,777,3032,3808,8641,Ézy-sur-Eure
106,00361,Ézy-sur-Eure,28,707,2866,3574,7893,Ézy-sur-Eure
107,00362,Le Grau-du-Roi,30,1690,823,2513,8178,Le Grau-du-Roi
108,00362,Le Grau-du-Roi,34,1269,1448,2716,8440,Le Grau-du-Roi
109,00363,Honfleur,14,2333,3301,5633,14080,Honfleur
110,00363,Honfleur,27,123,941,1064,2455,Honfleur
111,00364,Figeac,12,908,697,1605,4457,Figeac
112,00364,Figeac,46,3172,1477,4649,11918,Figeac
113,00365,Clisson,44,1783,4684,6468,14318,Clisson
114,00365,Clisson,85,345,983,1328,3269,Clisson
115,00366,Esch-sur-Alzette (LUX) - Villerupt (partie française),54,688,3459,4147,11037,Esch-sur-Alzette
116,00366,Esch-sur-Alzette (LUX) - Villerupt (partie française),57,551,3079,3631,8300,Esch-sur-Alzette
117,00451,Belleville,01,541,2486,3027,6454,Belleville
118,00451,Belleville,69,2117,4497,6615,15490,Belleville
119,00452,Redon,35,2048,1424,3471,9592,Redon
120,00452,Redon,44,328,900,1228,3109,Redon
121,00452,Redon,56,829,2483,3313,8084,Redon
122,00453,Eu,76,2210,3564,5774,15554,Eu
123,00453,Eu,80,541,1389,1930,5510,Eu
124,00454,Joeuf,54,1035,4618,5653,16100,Joeuf
125,00454,Joeuf,57,527,2248,2775,6159,Joeuf
126,00455,Marmande,33,159,493,652,1704,Marmande
127,00455,Marmande,47,5348,4882,10230,27603,Marmande
128,00456,Beaucaire,13,2140,2308,4448,13297,Beaucaire
129,00456,Beaucaire,30,2900,2701,5601,15946,Beaucaire
130,00457,Tournon-sur-Rhône,07,2198,3561,5759,14286,Tournon-sur-Rhône
131,00457,Tournon-sur-Rhône,26,1683,4678,6359,14903,Tournon-sur-Rhône
132,00458,Dinard,22,808,2468,3276,8315,Dinard
133,00458,Dinard,35,3269,5069,8338,23231,Dinard
134,00459,Persan - Beaumont-sur-Oise,60,1092,3164,4256,9438,Persan - Beaumont-sur-Oise
135,00459,Persan - Beaumont-sur-Oise,95,1970,8375,10347,24040,Persan - Beaumont-sur-Oise
136,00460,Saint-Dizier,52,6996,3266,10262,29422,Saint-Dizier
137,00460,Saint-Dizier,55,304,832,1136,2770,Saint-Dizier
138,00461,Alençon,61,7324,6627,13951,37811,Alençon
139,00461,Alençon,72,246,1202,1449,3463,Alençon
140,00462,Sallanches,73,301,318,619,1255,Sallanches
141,00462,Sallanches,74,10412,10978,21389,43633,Sallanches
142,00463,Lunel,30,882,2709,3591,8716,Lunel
143,00463,Lunel,34,5222,9525,14747,39897,Lunel
144,00464,Mâcon,01,145,677,823,1749,Mâcon
145,00464,Mâcon,71,9988,8757,18745,46548,Mâcon
146,00551,Montélimar,07,1226,2606,3831,10163,Montélimar
147,00551,Montélimar,26,9459,6847,16305,41494,Montélimar
148,00552,Arles,13,13492,5503,18994,52661,Arles
149,00552,Arles,30,256,1084,1340,2905,Arles
150,00553,Bergerac,24,9346,10495,19842,55386,Bergerac
151,00553,Bergerac,33,869,1956,2827,8866,Bergerac
152,00554,Brive-la-Gaillarde,19,15876,14240,30117,74790,Brive-la-Gaillarde
153,00554,Brive-la-Gaillarde,24,130,573,703,1618,Brive-la-Gaillarde
154,00555,Belfort,70,47,490,537,1244,Belfort
155,00555,Belfort,90,13126,18018,31150,79923,Belfort
156,00556,Vienne,38,10280,19898,30179,76094,Vienne
157,00556,Vienne,42,450,1813,2262,4855,Vienne
158,00556,Vienne,69,1213,4144,5357,11896,Vienne
159,00651,Valence,07,2007,6647,8654,20591,Valence
160,00651,Valence,26,20491,20842,41332,106333,Valence
161,00652,Genève (SUI) - Annemasse (partie française),01,3278,13247,16525,33632,Genève
162,00652,Genève (SUI) - Annemasse (partie française),74,12429,45355,57783,123054,Genève
163,00751,Bayonne (partie française),40,2024,5840,7864,18311,Bayonne
164,00751,Bayonne (partie française),64,31305,51483,82790,206176,Bayonne
165,00752,Béthune,59,4062,14942,19004,46289,Béthune
166,00752,Béthune,62,26584,86486,113073,306656,Béthune
167,00753,Saint-Étienne,42,61018,73935,134953,361407,Saint-Étienne
168,00753,Saint-Étienne,43,1029,3232,4262,9874,Saint-Étienne
169,00754,Avignon,13,7873,15475,23349,57104,Avignon
170,00754,Avignon,30,2147,6341,8488,20624,Avignon
171,00754,Avignon,84,62895,76038,138936,364649,Avignon
172,00755,Rouen,27,835,3993,4829,11450,Rouen
173,00755,Rouen,76,55312,126339,181655,452298,Rouen
174,00756,Douai - Lens,59,14409,39148,53557,153637,Douai - Lens
175,00756,Douai - Lens,62,29538,90784,120322,354569,Douai - Lens
176,00757,Toulon,13,6909,7154,14063,37941,Toulon
177,00757,Toulon,83,91801,102063,193867,519861,Toulon
178,00758,Lyon,01,6040,24482,30522,67606,Lyon
179,00758,Lyon,38,630,1655,2285,5267,Lyon
180,00758,Lyon,69,206847,423352,630203,1478235,Lyon
181,00759,Marseille - Aix-en-Provence,13,323020,268025,591048,1554875,Marseille - Aix-en-Provence
182,00759,Marseille - Aix-en-Provence,83,504,1683,2187,4914,Marseille - Aix-en-Provence
183,00851,Paris,75,497747,611491,1109239,2243833,Paris
184,00851,Paris,77,54857,227045,281905,603084,Paris
185,00851,Paris,78,117214,411798,529018,1163418,Paris
186,00851,Paris,91,88799,370234,459041,1018420,Paris
187,00851,Paris,92,173975,572108,746080,1572490,Paris
188,00851,Paris,93,136352,485660,622015,1522048,Paris
189,00851,Paris,94,127323,475586,602914,1327732,Paris
190,00851,Paris,95,89250,352948,442198,1009093,Paris
191,01101,Versonnex,01,115,952,1067,2144,Versonnex
192,01102,Saint-Martin-du-Frêne,01,281,754,1036,2149,Saint-Martin-du-Frêne
193,01103,Loyettes,01,264,940,1204,2645,Loyettes
194,01104,Buellas,01,133,1068,1201,2575,Buellas
195,01105,Pont-d'Ain,01,332,796,1128,2627,Pont-d'Ain
196,01106,Vonnas,01,420,726,1146,2790,Vonnas
197,01107,Villieu-Loyes-Mollon,01,202,1229,1431,3095,Villieu-Loyes-Mollon
198,01108,Crozet,01,209,1455,1664,3097,Crozet
199,01109,Culoz,01,576,512,1088,2909,Culoz
200,01110,Saint-André-de-Corcy,01,324,1044,1368,2991,Saint-André-de-Corcy
201,01111,Montagnat,01,216,1372,1587,3091,Montagnat
202,01112,Feillens,01,373,1175,1548,3115,Feillens
203,01113,Replonges,01,232,1336,1568,3500,Replonges
204,01114,Ceyzériat,01,331,1272,1603,3526,Ceyzériat
205,01115,Montrevel-en-Bresse,01,464,1087,1551,3411,Montrevel-en-Bresse
206,01116,Jujurieux,01,372,1290,1662,3706,Jujurieux
207,01117,Pont-de-Vaux,01,523,1131,1656,4165,Pont-de-Vaux
208,01118,Saint-Didier-sur-Chalaronne - Thoissey,01,494,1326,1820,4316,Saint-Didier-sur-Chalaronne - Thoissey
209,01119,Bâgé-la-Ville,01,339,1823,2162,4471,Bâgé-la-Ville
210,01120,Hauteville-Lompnes,01,1169,379,1548,4044,Hauteville-Lompnes
211,01121,Crottet - Pont-de-Veyle,01,440,1716,2157,4445,Crottet - Pont-de-Veyle
212,01122,Villars-les-Dombes,01,616,1442,2058,4399,Villars-les-Dombes
213,01123,Nantua,01,638,1092,1730,4350,Nantua
214,01124,Châtillon-sur-Chalaronne,01,850,1100,1950,4922,Châtillon-sur-Chalaronne
